Left Grip, Right Grip, Time
-1,-1,0
0,-1,0.3533334
0,-1,0.4204873
0,-1,0.4279828
0,-1,0.4486148
0,-1,0.469485
0,-1,0.4857861
0,-1,0.497045
0,-1,0.5107635
0,-1,0.5247893
0,-1,0.5390068
0,-1,0.5527378
0,-1,0.5662922
0,-1,0.5803192
0,-1,0.5940468
0,-1,0.6080793
0,-1,0.6220338
0,-1,0.6398512
0,-1,0.6498178
0,-1,0.6636201
0,-1,0.677631
0,-1,0.691551
0,-1,0.7052236
0,-1,0.7192571
0,-1,0.7330185
0,-1,0.7470105
0,-1,0.7609261
0,-1,0.7747127
0,-1,0.7930694
0,-1,0.8024644
5,0,0.8162196
0,0,0.8303477
0,0,0.8440382
0.75,0,0.8577653
0,0,0.8718001
0,0,0.8855991
0.75,0,0.8994901
0.75,0,0.9134536
0.75,0,0.9273334
0.75,0,0.9434268
0.75,0,0.9551913
0,0,0.9689206
0.75,0,0.9828433
0,0,0.9967753
0,0,1.010731
0,0,1.024628
0,0,1.038363
0.75,0,1.052477
0,0,1.066428
0.75,0,1.080862
0,0,1.096269
0,0,1.10863
0,0,1.122646
0.75,0,1.136591
0.75,0,1.150418
0.75,0,1.16441
0,0,1.178357
0.75,0,1.192234
0,0,1.205971
0.75,0,1.220194
0,0,1.234205
0,0,1.250866
0,0,1.261362
0.75,0,1.275258
0.75,0,1.289213
0.75,0,1.30307
0.75,0,1.316719
0.75,0,1.330872
0.75,0,1.344756
0.75,0,1.358603
0.75,0,1.372475
0.75,0,1.386768
0,0,1.403607
0,0,1.413891
0,0,1.427647
0,0,1.441519
0.75,0,1.455581
0.75,0,1.469371
0,0,1.483198
0.75,0,1.497591
0.75,0,1.511066
0.75,0,1.525002
0,0,1.538988
0.75,0,1.55558
0.75,0,1.566608
0.75,0,1.580531
0,0,1.594478
0,0,1.608338
0,0,1.622305
0,0,1.636797
0.75,0,1.650661
0,0,1.664353
0,0,1.67821
0.75,0,1.692107
0,0,1.708695
0.75,0,1.719872
0.75,0,1.733911
0,0,1.74803
0,0,1.761607
0.75,0,1.775376
0.75,0,1.78986
0.75,0,1.803396
0,0,1.817086
0.75,0,1.830948
0,0,1.844972
0,0,1.862219
0,0,1.872261
0,0,1.886259
0,0,1.900211
0,0,1.914242
0,0,1.927873
0.75,0,1.941874
0.75,0,2.092286
0,0,2.104683
0.75,0,2.116525
0.75,0,2.137
0,0,2.151189
0.75,0,2.165221
0,0,2.178704
0.75,0,2.19276
0.75,0,2.206275
0,0,2.230381
0.75,0,2.237497
0.75,0,2.248028
0.75,0,2.261985
0.75,0,2.276293
0,0,2.289778
0,0,2.303623
0.75,0,2.317235
0,0,2.331239
0,0,2.345638
0,0,2.359456
0,0,2.384254
0,0,2.393709
0,0,2.407523
0.75,0,2.421622
0,0,2.435545
0.75,0,2.449337
0.75,0,2.463248
0.75,0,2.47736
0,0,2.491464
0,0,2.505114
0.75,0,2.518572
0,0,2.536259
0,0,2.546379
0,0,2.560341
0,0,2.574351
0.75,0,2.588462
0,0,2.602198
0.75,0,2.616228
0.75,0,2.630523
0.75,0,2.650977
0.75,0,2.664636
0,0,2.68956
0,0,2.699759
0.75,0,2.713456
0,0,2.727256
0.75,0,2.741059
0.75,0,2.75584
0.75,0,2.769
0.75,0,2.78267
0,0,2.796553
0.75,0,2.810768
0.75,0,2.824742
0.75,0,2.846156
0,0,2.859627
0,0,2.872884
0,0,2.88707
0.75,0,2.901022
0.75,0,2.914603
0.75,0,2.928486
0,0,2.942195
0,0,2.956401
0,0,2.970088
0.75,0,2.991497
0.75,0,2.997584
0,0,3.011591
0.75,0,3.025587
0,0,3.040279
0.75,0,3.05373
0,0,3.067516
0,0,3.081404
0.75,0,3.0955
0,0,3.108886
0,0,3.122854
0,0,3.14371
0,0,3.15054
0,0,3.164974
0.75,0,3.178671
0,0,3.192283
0.75,0,3.207167
0.75,0,3.220531
0.75,0,3.234494
0.75,0,3.249723
0.75,0,3.262162
0,0,3.275748
0.75,0,3.297083
0.75,0,3.30398
0,0,3.317117
0,0,3.330898
0,0,3.344855
0,0,3.358636
0.75,0,3.372716
0,0,3.386458
0,0,3.400445
0,0,3.414321
0.75,0,3.42803
0.75,0,3.450807
0.75,0,3.456071
0,0,3.469764
0.75,0,3.483712
0,0,3.497633
0,0,3.511484
0.75,0,3.525429
0.75,0,3.53905
0.75,0,3.553025
0.75,0,3.567046
0.75,0,3.580845
0.75,0,3.602294
0,0,3.608613
0,0,3.622596
0.75,0,3.636467
0.75,0,3.650466
0,0,3.664216
0.75,0,3.678072
0.75,0,3.69196
0.75,0,3.705704
0.75,0,3.719733
0.75,0,3.733691
0.75,0,3.754656
0.75,0,3.761375
0,0,3.775241
0.75,0,3.789006
0.75,0,3.803129
0,0,3.816941
0,0,3.831084
0.75,0,3.844922
0,0,3.85888
0,0,3.872876
0.75,0,3.886699
0.75,0,3.908116
0.75,0,3.914266
0.75,0,3.928003
0,0,3.942194
0,0,3.955805
0,0,3.9699
0,0,3.98374
0,0,3.997356
0,0,4.011426
0.75,0,4.02574
0.75,0,4.039985
0,0,4.060387
0,0,4.067121
0,0,4.081197
0,0,4.095012
0.75,0,4.108632
0.75,0,4.122481
0.75,0,4.13639
0,0,4.150481
0,0,4.164761
0,0,4.177971
0,0,4.192005
0,0,4.212925
0,0,4.219574
0.75,0,4.233903
0.75,0,4.247727
0.75,0,4.261422
0.75,0,4.275411
0,0,4.289218
0,0,4.303089
0.75,0,4.316859
0,0,4.330874
0,0,4.344806
0.75,0,4.365935
0.75,0,4.372587
0,0,4.386551
0,0,4.400539
0,0,4.414217
0,0,4.428229
0.75,0,4.441894
0.75,0,4.456028
0,0,4.469714
0.75,0,4.483654
0,0,4.497489
0,0,4.519339
0,0,4.525088
0.75,0,4.539004
0.75,0,4.553137
0,0,4.567188
0.75,0,4.58081
0.75,0,4.594709
0.75,0,4.60866
0,0,4.622621
0.75,0,4.636389
0.75,0,4.650749
0,0,4.671738
0,0,4.678066
0.75,0,4.691998
0,0,4.706079
0,0,4.719666
0,0,4.733645
0.75,0,4.747346
0.75,0,4.761532
0,0,4.775346
0.75,0,4.789019
0.75,0,4.803038
0.75,0,4.823978
0,0,4.830936
0,0,4.844706
0.75,0,4.858621
0,0,4.872277
0,0,4.886317
0,0,4.900393
0.75,0,4.914173
0.75,0,4.927983
0,0,4.942196
0.75,0,4.956067
0.75,0,4.977411
0.75,0,4.983584
0,0,4.997279
0,0,5.011336
0.75,0,5.025389
0.75,0,5.039052
0.75,0,5.052991
0.75,0,5.067146
0,0,5.080727
0,0,5.094825
0.75,0,5.108423
0.75,0,5.129146
0.75,0,5.136229
0,0,5.150444
0.75,0,5.164141
0.75,0,5.178071
0.75,0,5.192057
0.75,0,5.205721
0.75,0,5.219731
0,0,5.233755
0,0,5.247826
0,0,5.262042
0.75,0,5.283213
0.75,0,5.289513
0.75,0,5.302964
0,0,5.31682
0,0,5.330859
0,0,5.344744
0,0,5.358678
0,0,5.372381
0,0,5.386296
0,0,5.400326
0.75,0,5.414015
0.75,0,5.434815
0.75,0,5.441867
0,0,5.45585
0.75,0,5.4696
0.75,0,5.483618
0.75,0,5.497447
0.75,0,5.511333
0,0,5.525606
0.75,0,5.539705
0,0,5.553745
0.75,0,5.567646
0,0,5.58869
0,0,5.595066
0,0,5.608538
0,0,5.622381
0,0,5.636396
0,0,5.650135
0,0,5.664317
0,0,5.67794
0,0,5.691898
0.75,0,5.705696
0.75,0,5.719639
0.75,0,5.740735
0.75,0,5.747471
0,0,5.761341
0.75,0,5.775384
0.75,0,5.789013
0,0,5.802903
0,0,5.817018
0,0,5.830999
0,0,5.84502
0.75,0,5.858922
0.75,0,5.872595
0.75,0,5.893616
0,0,5.900764
0,0,5.914227
0,0,5.9281
0,0,5.942127
0.75,0,5.956354
0.75,0,5.970063
0.75,0,5.983925
0.75,0,5.997691
0,0,6.011785
0,0,6.025681
0,0,6.050366
0.75,0,6.059952
0.75,0,6.073954
0,0,6.087668
0.75,0,6.10171
0.75,0,6.115505
0.75,0,6.129324
0,0,6.143291
0,0,6.157307
0,0,6.171142
0.75,0,6.185073
0.75,0,6.201615
0,0,6.212738
0.75,0,6.226812
0.75,0,6.240373
0.75,0,6.254464
0,0,6.268446
0.75,0,6.282431
0.75,0,6.296147
0,0,6.310123
0.75,0,6.324214
0.75,0,6.338144
0,0,6.354987
0.75,0,6.367028
0,0,6.379121
0,0,6.39319
0,0,6.407257
0.75,0,6.421009
0.75,0,6.434971
0,0,6.448874
0,0,6.462706
0.75,0,6.47653
0,0,6.490603
0,0,6.506946
0,0,6.518293
0.75,0,6.532171
0,0,6.545975
0,0,6.559826
0.75,0,6.573929
0.75,0,6.587787
0,0,6.601864
0,0,6.615842
0.75,0,6.629578
0.75,0,6.643795
0.75,0,6.660059
0.75,0,6.671385
0.75,0,6.685363
0,0,6.699052
0.75,0,6.712988
0,0,6.726839
0,0,6.740907
0,0,6.754839
0,0,6.775251
0,0,6.789093
0.75,0,6.810092
0.75,0,6.817002
0,0,6.831083
0.75,0,6.84465
0,0,6.858589
0,0,6.872455
0.75,0,6.886214
0.75,0,6.900414
0,0,6.913957
0,0,6.928084
0,0,6.941795
0.75,0,6.963121
0.75,0,6.969493
0.75,0,6.983825
0,0,6.997439
0,0,7.011631
0,0,7.025462
0.75,0,7.038887
0.75,0,7.053098
0.75,0,7.066898
0,0,7.080848
0,0,7.09463
0.75,0,7.115788
0.75,0,7.12233
0,0,7.136275
0.75,0,7.150328
0.75,0,7.164228
0,0,7.177946
0.75,0,7.192152
0.75,0,7.206108
0.75,0,7.220012
0.75,0,7.234159
0,0,7.24778
0,0,7.268795
0.75,0,7.27551
0.75,0,7.289557
0,0,7.303328
0,0,7.317138
0.75,0,7.331049
0,0,7.344973
0.75,0,7.359015
0.75,0,7.372805
0,0,7.386644
0,0,7.400587
0,0,7.42182
0,0,7.428198
0,0,7.441966
0,0,7.455926
0,0,7.469806
0,0,7.483732
0.75,0,7.497559
0,0,7.51145
0.75,0,7.525525
0,0,7.539209
0,0,7.553216
0,0,7.574501
0,0,7.5809
0.75,0,7.594861
0,0,7.608707
0,0,7.622596
0.75,0,7.636717
0,0,7.650331
0,0,7.664455
0,0,7.678372
0,0,7.692272
0,0,7.70582
0,0,7.727113
0,0,7.733742
0.75,0,7.747606
0,0,7.761822
0.75,0,7.775648
0.75,0,7.789093
0.75,0,7.803077
0.75,0,7.817002
0.75,0,7.831055
0.75,0,7.845003
0.75,0,7.858889
0.75,0,7.87998
0.75,0,7.886531
0.75,0,7.900725
0.75,0,7.915513
0.75,0,7.928061
0,0,7.942163
0,0,7.956023
0,0,7.969956
0,0,7.983633
0.75,0,7.997923
0.75,0,8.011952
0,0,8.034084
0,0,8.041393
0,0,8.053708
0.75,0,8.069273
0,0,8.08155
0.75,0,8.095063
0.75,0,8.108994
0.75,0,8.125138
0.75,0,8.136569
0,0,8.150759
0,0,8.165168
0,0,8.190696
0,0,8.199318
0,0,8.213131
0,0,8.226789
0,0,8.241488
0.75,0,8.25487
0.75,0,8.26869
0,0,8.282465
0,0,8.296457
0.75,0,8.310326
0,0,8.324025
0.75,0,8.340463
0.75,0,8.351714
0.75,0,8.365726
0.75,0,8.379366
0,0,8.393508
0.75,0,8.407389
0,0,8.421382
0.75,0,8.435108
0.75,0,8.449024
0,0,8.463057
